"ID","_id","text","count","str_id"
"[32853,20481614]",711971205079654408,"RT @cienciadelaoei: Incertezas sobre zika e microcefalia. A edicao 241, que estara on-line na segunda-feira, destaca que o pais ainda... ht",137,"711971205079654408"
"[32853,20481615]",982979568226185217,"RT @CdeCorinthians: CHEGOU O GRANDE DIA, VAI PRA CIMA CORINGAO, ESTA CHEGANDO A HORA DESSA ZIKA ACABAR E GANHA ESSE JOGO PRA FIEL COMEMORAR",138,"982979568226185217"
"[32853,20481616]",846052910576422912,"Virus #Zika podria causar dao cardiovascular: Especialistas https://t.co/zRuq8grHzw https://t.co/uhMvrxdNxC",139,"846052910576422912"
"[32853,20481617]",996693119902142465,"RT @capteinswag: @nathsss__ @Wallacehenriqe Ou a Nath nem e atleticana tira essa camisa dela vai da zika",140,"996693119902142465"
"[32853,20481618]",702194885932277761,"RT @DiarioPE: Escassez de medicamentos deixa Venezuela mais vulneravel ao virus zika https://t.co/MdqNMHWENL https://t.co/xknjcVSYuc",141,"702194885932277761"
"[32853,20481619]",699550910209339392,"#Folha Honduras tem 40 casos de Guillain-Barre possivelmente associados a zika: As autoridades de saude de Hon... https://t.co/DZ7oUyOq8L",142,"699550910209339392"
"[32853,20481620]",843091290648707072,"HAAHAHAJAJAJAJAJAJAJAJAJAHAHAHA SOCORRO KKASJSJSKJSSK MEU DEUS VC E O MELHOR COMEDIANTE DO MUNDO  LENDA  VC E ZIKA https://t.co/dekGxiY01a",143,"843091290648707072"
"[32853,20481621]",700489036570501121,"RT @t_e_i_t_e_i: ""Zika Virus pode ser contraido pela saliva."" Olha, no meu caso so se alguem cuspir em mim, porque me beijar ninguem beija.",144,"700489036570501121"
"[32853,20481622]",705772847604604929,"RT @tvdiario: Pesquisas vao apontar se muricocas tambem podem transmitir o virus zika  https://t.co/vWnWAsmtJn https://t.co/fCyGWlkANB",145,"705772847604604929"
"[32853,20481623]",994050399693885442,"Sua mae pode ser legal, mas a minha mae e Zika tiu https://t.co/x8YmAPzuX3",146,"994050399693885442"
"[32853,20481624]",700391573780086786,"Papa admite uso de contracetivos para prevenir zika https://t.co/m03mPJmSvp",147,"700391573780086786"
"[32853,20481625]",996849809398140928,"Acho zika ver seus stories no baile,mas, voce nao tem medo?  favela e lugar de paz alegria pras crianca :p https://t.co/BUa67tx32a",148,"996849809398140928"
"[32853,20481626]",858443542645047302,"Me picaron tantos mosquitos hoy que soy dengue nivel 5",149,"858443542645047302"
"[32853,20481627]",841126995975122944,"a real e que nunca achei alguem como eu kkkk impossivel, nao existe ngm + zika",150,"841126995975122944"
"[32853,20481628]",713015017042546688,"RT @SBPProtege: Junte-se a luta contra o zika e a dengue: 1-proteja sua casa com SBP, 2-use Repelex quando sair e 3-elimine agua parada. #1",151,"713015017042546688"
"[32853,20481629]",705174164538261504,"@LucasMarquesVM ue vc n sabia? Ou e outro pernilongo alem do aedes?",152,"705174164538261504"
"[32853,20481630]",699389002210791429,"To com um desconforto no olho que certo que e tercol, conjuntivite ou zika.",153,"699389002210791429"
"[32853,20481631]",842441433369972738,"Cuando te da Dengue :( https://t.co/y9sBU8gH1D",154,"842441433369972738"
"[32853,20481632]",1000179821836718083,"meu ccat e mais parado que agua da dengue",155,"1000179821836718083"
"[32853,20481633]",857765639846604800,"E cada coisa que passa na cabeca zika",156,"857765639846604800"
"[32853,20481634]",710093699661828096,"Rapaz que situacao ... atras de Bolivia, Venezuela ... e depois querem eliminar o Aedes Aegypti ... e no minimo... https://t.co/OiD2iC2Z7h",157,"710093699661828096"
"[32853,20481635]",996553088415797248,"RT @Gremista_Jr: Arthur  Cebolinha  E agora o Alisson  SAI ZIKA!!!!",158,"996553088415797248"
"[32853,20481636]",845474056212303872,"Aqui no Nordeste a gente segue o mosquito da dengue pra saber onde tem agua !",159,"845474056212303872"
"[32853,20481637]",982841849231675392,"tlc gnt q prende minha atencao na cvs e zika dms kkkkkk",160,"982841849231675392"
"[32853,20481638]",991660306316316672,"@tomazidexter @santopredo @_sabrinna__ Pdc mano, ia ser zika demaiss",161,"991660306316316672"
"[32853,20481639]",709181823029481478,"[AHORA] en @EconoPoliticaTV ""Epidemia de Dengue sin Equipos de Salud"".  Por @C5N -No hicimos nada contra el Mosquito porque nos nos dejaron-",162,"709181823029481478"
"[32853,20481640]",988897903480590337,"Toman autoridades cozumeleas medidas preventivas contra dengue https://t.co/pgeEioEy0e",163,"988897903480590337"
"[32853,20481641]",702507867316686849,"'Estamos tentando obter respostas', diz diretora da OMS sobre zika: Margareth Chan realiza visita ao Imip, um ... https://t.co/moq38WJBos",164,"702507867316686849"
"[32853,20481642]",855536080392671233,"@atokito #Dengue #Piura #salud colapso.Personal salud escaso frente demanda ptes x dengue. https://t.co/Z4jaIO4qy9 https://t.co/cnxRuxugu4",165,"855536080392671233"
"[32853,20481643]",854457518348795904,"2017/05/13: Barro Preto, Brazil: Dengue - Duelo de Vogue (Novas Categorias) https://t.co/Uj2PcwJsqq https://t.co/kL8zYRSyyg",166,"854457518348795904"
"[32853,20481644]",708069954151649281,"RT @lucianoarchanjo: Eu estou que nem a dengue cheio de casos por ai!  #RetornoMFSDV",167,"708069954151649281"
"[32853,20481645]",848697280261746688,"RT @MariaaLuiiza1: @mariiaeduar Dengue, chikungunya sei la, um desses trem",168,"848697280261746688"
